date,ticker,score,signal,action,list,stop_atr_x,position_w,notes
2025-09-18,HG=F,1.468,UP,BUY,List-1,21.03,0.0807,
2025-09-18,HDFCBANK.NS,1.44,UP,BUY,List-1,115.48,0.0452,
2025-09-18,TCS.NS,0.6569,UP,BUY,List-1,130.73,0.0396,
2025-09-18,EURUSD=X,0.6394,UP,BUY,List-1,0.02,0.0807,
2025-09-18,USDINR=X,0.5025,UP,BUY,List-1,3.37,0.0807,
2025-09-18,CL=F,0.3057,UP,BUY,List-1,14.07,0.0807,
2025-09-18,GBPUSD=X,0.1391,UP,BUY,List-1,0.03,0.0807,
2025-09-18,USDJPY=X,-0.1201,DOWN,AVOID,List-1,2.12,0.0807,
2025-09-18,BZ=F,-0.2622,DOWN,AVOID,List-1,6.09,0.0807,
2025-09-18,SI=F,-0.4384,DOWN,AVOID,List-1,25.31,0.0718,
2025-09-18,NG=F,-0.6073,DOWN,AVOID,List-1,11.98,0.0807,
2025-09-18,RELIANCE.NS,-0.6839,DOWN,AVOID,List-1,22.56,0.0399,
2025-09-18,INFY.NS,-0.8676,DOWN,AVOID,List-1,28.05,0.0373,
2025-09-18,GC=F,-0.9788,DOWN,AVOID,List-1,1.09,0.0805,
2025-09-18,NIFTYBEES.NS,-1.1935,DOWN,AVOID,List-1,18.94,0.0402,
